heading,source,content
"Rs 50 Crore Cocaine Seized In Delhi, Mumbai. This Is How The Nexus Worked","Edited by Divyam Sharma  | Tuesday October 18, 2022, New Delhi/Mumbai","Estimated to be worth Rs 50 crore, 7 kg of cocaine was seized in a massive operation by the Narcotics Control Bureau (NCB) in which four foreigners and two women were arrested."
"Shanaya Kapoor's Latest Instagram Post Made BFF Suhana Khan Go ""Wow""","Written by Jyothi Jha  | Tuesday October 18, 2022, New Delhi",Shanaya Kapoor shared some stunning pictures of herself on Instagram
Meta Accepts CMA Order to Sell Giphy After Losing Appeal in UK Antitrust Battle,"Agence France-Presse   | Tuesday October 18, 2022","Meta on Tuesday said it would accept the UK's Competition and Markets Authority (CMA)  order to sell Giphy in its entirety, expressing disappointment after it lost an appeal in the UK. Giphy is a platform and search engine for ""stickers"" and other products using the graphics interchange format, or GIFs.  The watchdog argued the deal would limit choice for UK social media users and reduce innovation in UK display advertising."
,,
Dharmendra Pradhan To Start Process Of Public Consultation On NCF Tomorrow,"Edited by Mridusmita Deka  | Tuesday October 18, 2022",NCF seeks to enable the integration of academic and vocational domains or components of learning and ensure flexibility and mobility between the two.
"For Himachal Polls, BJP To Replace Several MLAs, Internal Vote Against Defectors Too","Reported by Akhilesh Sharma, Edited by Aarish Chhabra  | Tuesday October 18, 2022, New Delhi","In its internal poll, the BJP sought three preferences for each segment from block-level members"
Ashish Vidyarthi's Foodie Adventures In Mumbai Has Left Us Drooling,"Priyaja Bakshi   | Tuesday October 18, 2022",The actor is quite the foodie and it can be well understood from the vlogs he keeps sharing on his YouTube channel.
,,
Watch: Virat Kohli's Epic Reaction To Comedian's Question On Off-Stump Line Ahead of T20 World Cup,"NDTV Sports Desk   | Tuesday October 18, 2022","Cricketers from India, Pakistan and Bangladesh were asked some funny yet tricky questions by comedian Danish Sait"
Draft Telecom Bill: Deadline for Receipt of Comments on Draft Bill Extended to October 30,"ANI   | Tuesday October 18, 2022","The Department of Telecommunication (DoT) on Monday announced that the deadline to receive comments on the draft Indian Telecommunication Bill, 2022, has been extended to October 30. The previous deadline of October 20 was set by the Ministry of Communications on September 21, when the draft of the bill was released."
UK Summons Chinese Envoy Over Consulate Protester Assault,"Agence France-Presse   | Tuesday October 18, 2022, London",Britain's foreign ministry today summoned the Chinese charge d'affaires in London after a Hong Kong pro-democracy protester was assaulted.
First Generation iPhone Sells for Way More Than Latest iPhone 14 Pro at Auction,"Edited by Amit Chaturvedi  | Tuesday October 18, 2022",The auction was held by LCG Auctions where the gadget was sold for over 65 times its original $599 price tag.
Netflix Profile Transfer Feature Rolling Out to Users: All You Need to Know,"Written by Anees Hussain , Edited by David Delima  | Tuesday October 18, 2022",Netflix has announced that members using a shared profile on its platform who wish to break away from the account may choose to do so with its latest Profile Transfer tool that will allow such users to retain personalised settings on their new account. The feature will be made available to users globally starting today.
"Snoop Dogg, Billy Ray Cyrus Set to Launch 'A Hard Working Man' NFT Collection as Tribute to Hard Working Americans","Written by Radhika Parashar , Edited by David Delima  | Tuesday October 18, 2022","Snoop Dogg and Billy Ray Cyrus are all geared up to launch their NFT collection. The name of this collection is “A Hard Working Man”. The NFTs from this series will show animated avatars of Snoop Dogg and Cyrus as construction workers, electricians, farmers, and mechanics among others."
Mulayam Singh Yadav's Ashes To Be Immersed At Sangam In Prayagraj Tomorrow,"Press Trust of India   | Tuesday October 18, 2022, Haridwar, Uttarakhand","The ashes of Samajwadi Party patron Mulayam Singh Yadav will be immersed at the Sangam in Prayagraj tomorrow, family sources said."
